place_coordinates_id,place_id,latitude,longitude,ym_geocode
2358,213,43.020603,44.681888,"Россия, Республика Северная Осетия — Алания, Владикавказ"
2694,270,60.144646,30.209535,"Россия, Ленинградская область, Всеволожский район, Сертолово"
2464,330,63.861436,57.316531,"Россия, Республика Коми, Вуктыл"
2097,1449,45.356200,36.467352,"Россия, Республика Крым, Керчь"
2686,1727,55.846608,48.501120,"Россия, Республика Татарстан, Зеленодольск"
2095,1811,59.763761,60.193493,"Россия, Свердловская область, Краснотурьинск"
2094,1865,52.539308,85.213829,"Россия, Алтайский край, Бийск"
2093,2006,52.246230,117.711740,"Россия, Забайкальский край, Сретенск"
2092,2118,53.136911,103.090096,"Россия, Иркутская область, Черемхово"
2091,2451,55.940689,46.202107,"Россия, Чувашская Республика, Ядрин"
2536,2816,54.596613,52.443260,"Россия, Республика Татарстан, Лениногорск"
2338,2837,54.056551,35.962175,"Россия, Калужская область, Козельский район, Сосенский"
2337,3044,45.358423,40.696395,"Россия, Краснодарский край, Гулькевичи"
2535,3059,53.630152,55.931634,"Россия, Республика Башкортостан, Стерлитамак"
2336,3280,61.669822,40.204388,"Россия, Архангельская область, Няндома"
2335,3293,58.369849,45.518264,"Россия, Костромская область, Шарья"
2357,3370,45.044502,41.969065,"Россия, Ставрополь"
2534,3656,54.319181,35.281692,"Россия, Калужская область, Мещовск"
2533,3698,56.088403,54.248254,"Россия, Республика Башкортостан, Нефтекамск"
2334,3729,53.361694,55.924582,"Россия, Республика Башкортостан, Салават"
2333,3747,57.122219,35.466808,"Россия, Тверская область, Лихославль"
2532,3842,53.017060,32.393851,"Россия, Брянская область, Сураж"
2531,4426,55.207634,36.483584,"Россия, Калужская область, Боровск"
2322,4429,59.644118,33.542886,"Россия, Ленинградская область, Тихвин"
2122,4673,57.526543,38.326460,"Россия, Ярославская область, Углич"
2121,5073,51.158122,82.187216,"Россия, Алтайский край, Змеиногорск"
2476,5432,55.895156,52.314343,"Россия, Республика Татарстан, Менделеевск"
2120,5570,61.111193,28.872680,"Россия, Ленинградская область, Выборгский район, Светогорск"
2223,6002,54.744659,35.242463,"Россия, Калужская область, Юхнов"
2384,6367,51.958182,85.960373,"Россия, Республика Алтай, Горно-Алтайск"
2474,6454,53.183026,158.388355,"Россия, Камчатский край, Елизово"
2119,6476,54.755410,61.324427,"Россия, Челябинская область, Еманжелинск"
2118,6495,53.734001,127.265809,"Россия, Амурская область, Зея"
2117,6654,66.659365,66.388266,"Россия, ЯНАО, Лабытнанги"
2116,6877,46.105835,33.691099,"Россия, Республика Крым, Армянск"
2519,7037,56.252857,93.532210,"Россия, Красноярский край, Железногорск"
2156,7324,43.111199,132.347991,"Россия, Приморский край, Большой Камень"
2530,7350,48.625101,142.778851,"Россия, Сахалинская область, Макаров"
2332,7351,46.652779,141.863135,"Россия, Сахалинская область, Невельск"
2363,7375,54.180857,45.186319,"Россия, Республика Мордовия, Саранск"
2331,7758,61.805890,36.533000,"Россия, Республика Карелия, Пудож"
2515,7829,51.554657,43.146496,"Россия, Саратовская область, Балашов"
2473,7849,53.987134,123.943632,"Россия, Амурская область, Сковородино"
2472,7994,51.090228,40.031911,"Россия, Воронежская область, Бобров"
2514,8140,56.289071,37.483175,"Россия, Московская область, Дмитровский муниципальный район, Яхрома"
2513,8159,55.938561,37.510098,"Россия, Московская область, Долгопрудный"
2512,8162,56.344157,37.520015,"Россия, Московская область, Дмитров"
2511,8926,43.398163,42.921423,"Россия, Кабардино-Балкарская Республика, Эльбрусский район, Тырныауз"
2510,9492,59.535084,45.457646,"Россия, Вологодская область, Никольск"
2509,9570,52.759411,87.847725,"Россия, Кемеровская область, Таштагол"
2398,9694,42.057669,48.288776,"Россия, Республика Дагестан, Дербент"
2492,9941,56.991837,60.477136,"Россия, Свердловская область, Среднеуральск"
2508,9942,56.975804,60.564955,"Россия, Свердловская область, Верхняя Пышма"
2355,10020,51.719086,94.437757,"Россия, Республика Тыва, Кызыл"
2506,10314,68.056712,166.452154,"Россия, Чукотский автономный округ, Билибино"
2366,10575,51.730361,36.192647,"Россия, Курск"
2470,10642,45.260439,38.126001,"Россия, Краснодарский край, Славянск-на-Кубани"
2651,10653,52.022331,47.782818,"Россия, Саратовская область, Балаково"
2650,10797,57.559708,49.935712,"Россия, Кировская область, Нолинск"
2133,10809,49.057075,44.830110,"Россия, Волгоградская область, Дубовка"
2132,11037,50.322058,44.801319,"Россия, Волгоградская область, Котово"
2199,11153,53.244472,39.141798,"Россия, Липецкая область, Данков"
2131,11179,53.791470,81.354603,"Россия, Алтайский край, Каменский район, Камень-на-Оби"
2504,11461,54.964153,48.290142,"Россия, Республика Татарстан, Буинск"
2503,11487,54.990716,57.689969,"Россия, Челябинская область, Сим"
2085,11785,55.619818,40.657902,"Россия, Владимирская область, Гусь-Хрустальный"
2083,11913,54.481448,53.465570,"Россия, Республика Башкортостан, Октябрьский"
2502,12083,52.925259,78.572916,"Россия, Алтайский край, Яровое"
2468,12453,59.117790,28.088136,"Россия, Ленинградская область, Сланцы"
2467,12945,55.659840,37.863199,"Россия, Московская область, Котельники"
2466,12973,44.105325,42.973193,"Россия, Ставропольский край, Лермонтов"
2641,13277,43.957376,43.631946,"Россия, Ставропольский край, Кировский район, Новопавловск"
2465,13320,55.743553,52.395820,"Россия, Республика Татарстан, Набережные Челны"
1988,13479,48.966440,140.285128,"Россия, Хабаровский край, Советско-Гаванский район, Советская Гавань"
2412,13593,61.002486,69.018408,"Россия, ХМАО, Ханты-Мансийск"
2114,14578,52.650646,42.728663,"Россия, Тамбовская область, Кирсанов"
2113,14590,53.706332,84.931551,"Россия, Алтайский край, Заринск"
2112,14882,51.687126,39.027263,"Россия, Воронежская область, Семилуки"
2111,14920,55.597856,37.039462,"Россия, Московская область, Краснознаменск"
2110,14980,50.106518,129.439309,"Россия, Амурская область, Завитинск"
2109,15041,63.795285,74.494448,"Россия, ЯНАО, Муравленко"
2108,15148,59.460968,40.099977,"Россия, Вологодская область, Сокол"
2375,15525,52.033973,113.499432,"Россия, Забайкальский край, Чита"
2107,15757,58.348590,60.040896,"Россия, Свердловская область, Красноуральск"
2529,15844,45.057123,34.599970,"Россия, Республика Крым, Белогорск"
2106,15888,55.729686,36.855325,"Россия, Московская область, Звенигород"
2105,15954,42.115189,48.193914,"Россия, Республика Дагестан, Дагестанские Огни"
2104,15972,60.732141,33.552139,"Россия, Ленинградская область, Лодейное Поле"
2103,16085,50.760530,37.864780,"Россия, Белгородская область, Новый Оскол"
2102,16122,60.939742,76.569601,"Россия, ХМАО, Нижневартовск"
2246,16480,54.965150,39.026059,"Россия, Московская область, Луховицы"
2245,16533,45.099028,43.430606,"Россия, Ставропольский край, Благодарный"
2126,16635,53.598743,87.337051,"Россия, Кемеровская область, Осинники"
2125,16639,55.669315,86.274469,"Россия, Кемеровская область, Берёзовский"
2528,16641,53.884466,86.750082,"Россия, Кемеровская область, Прокопьевск"
2124,16642,53.521083,87.277160,"Россия, Кемеровская область, Калтан"
2123,16683,67.466723,86.581361,"Россия, Красноярский край, Туруханский район, Игарка"
2501,16836,49.081575,142.069281,"Россия, Сахалинская область, Углегорск"
2640,16886,53.686596,88.070372,"Россия, Кемеровская область, Междуреченск"
2685,17428,60.019041,30.645577,"Россия, Ленинградская область, Всеволожск"
2497,17462,50.676327,156.124106,"Россия, Сахалинская область, Северо-Курильск"
2496,17735,56.333305,46.546656,"Россия, Республика Марий Эл, Козьмодемьянск"
2495,17812,51.351246,48.273478,"Россия, Саратовская область, Ершов"
2494,17852,55.375010,37.538979,"Россия, Московская область, Подольск, Климовск"
2493,18016,58.498652,39.122987,"Россия, Ярославская область, Пошехонье"
2381,18436,50.597467,36.588849,"Россия, Белгород"
2491,18860,55.506943,47.491764,"Россия, Чувашская Республика, Канаш"
2490,19053,53.365960,34.109732,"Россия, Брянская область, Сельцо"
2489,19261,58.732526,29.849175,"Россия, Ленинградская область, Луга"
2380,19490,53.243325,34.363731,"Россия, Брянск"
2527,19495,44.723566,37.768678,"Россия, Краснодарский край, Новороссийск"
2488,19545,51.842282,41.461796,"Россия, Тамбовская область, Жердевка"
2487,19615,55.914287,36.860284,"Россия, Московская область, Истра"
2486,19648,53.933794,37.631577,"Россия, Тульская область, Щёкинский район, Советск"
2526,19711,51.367719,42.074995,"Россия, Воронежская область, Борисоглебск"
2485,19821,54.631368,22.571357,"Россия, Калининградская область, Нестеров"
1987,20010,56.713217,36.779309,"Россия, Тверская область, Конаково"
2684,20050,46.689615,47.851791,"Россия, Астраханская область, Нариманов"
2484,20065,51.283644,37.534748,"Россия, Белгородская область, Губкин"
2483,20376,58.481719,41.533113,"Россия, Костромская область, Буй"
2321,20535,54.083217,61.559759,"Россия, Челябинская область, Троицк"
2525,20565,44.934412,37.985495,"Россия, Краснодарский край, Крымск"
2524,20566,52.756648,103.638769,"Россия, Иркутская область, Усолье-Сибирское"
2320,20871,47.631528,43.142625,"Россия, Волгоградская область, Котельниково"
2352,20903,58.603581,49.668023,"Россия, Киров"
2523,21085,63.599034,53.876306,"Россия, Республика Коми, район Сосногорск, Сосногорск"
2522,21113,44.676379,34.410048,"Россия, Республика Крым, Алушта"
2683,21381,62.145570,65.394514,"Россия, ХМАО, Нягань"
1986,21639,51.660496,35.657143,"Россия, Курская область, Курчатов"
2682,21640,57.775747,108.110861,"Россия, Иркутская область, Киренск"
2681,21949,52.045967,47.387317,"Россия, Саратовская область, Вольск"
2680,22069,56.012053,37.475082,"Россия, Московская область, Лобня"
2679,22345,54.479555,37.689689,"Россия, Тульская область, Ясногорск"
2678,22413,51.363434,110.459048,"Россия, Забайкальский край, Хилок"
2677,22613,52.651657,90.088572,"Россия, Республика Хакасия, Абаза"
2143,22929,51.568111,34.680180,"Россия, Курская область, Рыльск"
2521,23122,59.349296,31.248580,"Россия, Ленинградская область, Тосненский район, Любань"
2192,23180,56.854360,40.535471,"Россия, Ивановская область, Тейково"
2639,23399,54.464623,19.945438,"Россия, Калининградская область, Мамоново"
2676,23617,54.449005,61.258096,"Россия, Челябинская область, Южноуральск"
2191,23681,55.045671,60.107677,"Россия, Челябинская область, Миасс"
2190,24071,44.208799,43.138340,"Россия, Ставропольский край, Минеральные Воды"
2675,24120,53.084236,103.336504,"Россия, Иркутская область, Свирск"
2142,24187,54.235127,85.803007,"Россия, Кемеровская область, Гурьевский район, Салаир"
2674,24355,55.922212,37.854629,"Россия, Московская область, Королёв"
2189,24435,58.403221,51.133166,"Россия, Кировская область, Зуевка"
2188,24522,58.838377,36.442495,"Россия, Вологодская область, Устюжна"
2187,24536,52.044338,39.726367,"Россия, Липецкая область, Усмань"
2186,24837,55.840563,48.257856,"Россия, Чувашская Республика, Козловка"
2185,25055,56.011404,90.416889,"Россия, Красноярский край, Назарово"
2673,25469,50.784551,36.488686,"Россия, Белгородская область, Яковлевский район, Строитель"
2378,25715,48.707103,44.516939,"Россия, Волгоград"
2672,25735,55.602144,37.346551,"Россия, Москва, Московский"
2671,26411,58.074855,60.702577,"Россия, Свердловская область, Нижняя Салда"
2670,26418,56.659963,124.720270,"Россия, Республика Саха (Якутия), Нерюнгри"
2669,26525,55.752080,48.744609,"Россия, Республика Татарстан, Верхнеуслонский район, Иннополис"
2668,26540,43.797279,131.951753,"Россия, Приморский край, Уссурийск"
2141,26653,57.107152,41.733366,"Россия, Ивановская область, Родники"
2184,26982,52.591257,58.311199,"Россия, Республика Башкортостан, Баймак"
2183,27072,55.415646,55.558276,"Россия, Республика Башкортостан, Бирск"
2859,27348,53.508816,49.419207,"Россия, Самарская область, Тольятти"
2265,27442,59.944319,31.033370,"Россия, Ленинградская область, Кировский район, Шлиссельбург"
2023,27632,55.579169,42.052411,"Россия, Владимирская область, Муром"
2033,27776,56.109551,47.479125,"Россия, Чувашская Республика, Новочебоксарск"
2647,27911,56.524461,50.678232,"Россия, Кировская область, Малмыж"
2204,27962,51.713333,46.740009,"Россия, Саратовская область, Маркс"
2260,28011,61.031835,76.102549,"Россия, ХМАО, Мегион"
2179,28654,55.319797,38.672410,"Россия, Московская область, Воскресенск"
2032,28696,58.201698,68.253762,"Россия, Тюменская область, Тобольск"
2178,28895,50.453372,40.136916,"Россия, Воронежская область, Павловск"
2520,28898,60.366014,28.613552,"Россия, Ленинградская область, Выборгский район, Приморск"
2177,28900,57.012219,63.732119,"Россия, Свердловская область, Талица"
2319,29356,51.375889,128.134147,"Россия, Амурская область, Свободный"
2173,30327,56.654689,66.312206,"Россия, Тюменская область, Ялуторовск"
2172,30403,50.424119,41.016240,"Россия, Воронежская область, Калач"
2171,30423,55.553299,34.996845,"Россия, Смоленская область, Гагарин"
2169,31061,55.425481,38.264090,"Россия, Московская область, Бронницы"
2168,31718,58.282548,59.764673,"Россия, Свердловская область, Кушва"
2167,31719,58.631026,59.852097,"Россия, Свердловская область, Нижняя Тура"
2166,32272,56.694558,60.834351,"Россия, Свердловская область, Арамиль"
2165,32571,60.979326,32.972645,"Россия, Республика Карелия, Олонец"
2164,32573,61.573083,31.471254,"Россия, Республика Карелия, Питкярантский район, Питкяранта"
2163,32577,61.065915,42.103310,"Россия, Архангельская область, Вельск"
2162,32880,44.563022,38.079055,"Россия, Краснодарский край, Геленджик"
2161,33672,65.148602,57.223977,"Россия, Республика Коми, Печора"
2031,33843,56.363628,41.311220,"Россия, Владимирская область, Ковров"
2160,34272,54.406265,32.439782,"Россия, Смоленская область, Починок"
2159,34277,64.432625,76.500494,"Россия, ЯНАО, Губкинский"
2158,34310,62.912774,34.456850,"Россия, Республика Карелия, Медвежьегорск"
2450,34513,44.148599,43.473896,"Россия, Ставропольский край, Георгиевск"
2157,34554,45.854680,40.125929,"Россия, Краснодарский край, Тихорецкий район, Тихорецк"
2155,34910,53.121594,34.982796,"Россия, Брянская область, Карачев"
2439,35609,46.347869,48.033574,"Россия, Астрахань"
2154,35752,50.050167,46.880398,"Россия, Волгоградская область, Палласовка"
2153,35773,45.328573,42.856628,"Россия, Ставропольский край, Петровский район, Светлоград"
2152,35787,56.514927,34.933586,"Россия, Тверская область, Старица"
2151,35806,53.932023,37.922092,"Россия, Тульская область, Киреевск"
2457,35859,59.766534,60.001227,"Россия, Свердловская область, Карпинск"
2456,35979,55.452686,40.612502,"Россия, Владимирская область, Гусь-Хрустальный район, Курлово"
2455,36322,54.557120,100.578038,"Россия, Иркутская область, Тулун"
2147,36444,53.752197,34.738723,"Россия, Калужская область, Жиздра"
2667,36706,57.317815,43.110995,"Россия, Ивановская область, Юрьевец"
2454,36711,54.039201,43.919056,"Россия, Республика Мордовия, Ковылкино"
2145,36742,59.950767,40.206418,"Россия, Вологодская область, Харовск"
2330,36900,53.736206,119.766080,"Россия, Забайкальский край, Могоча"
2318,37083,55.197204,36.595200,"Россия, Калужская область, Боровский район, Ермолино"
2666,37341,55.431177,37.544737,"Россия, Московская область, Подольск"
2030,37348,57.240412,37.855078,"Россия, Тверская область, Калязин"
2029,37353,60.140229,32.560111,"Россия, Ленинградская область, Волховский район, Сясьстрой"
2028,37601,54.839805,46.572177,"Россия, Чувашская Республика, Алатырь"
2665,38223,56.010005,38.379245,"Россия, Московская область, Черноголовка"
2139,38604,61.331867,46.920445,"Россия, Архангельская область, Котласский район, Сольвычегодск"
2664,38870,45.393055,47.343219,"Россия, Республика Калмыкия, Лагань"
2144,39110,58.705138,59.484004,"Россия, Свердловская область, Качканар"
2329,39123,44.781528,44.165024,"Россия, Ставропольский край, Будённовск"
2137,39149,51.976837,42.252960,"Россия, Тамбовская область, Уварово"
2663,39247,66.083963,76.680974,"Россия, ЯНАО, Новый Уренгой"
2027,39270,57.454414,40.572446,"Россия, Костромская область, Нерехта"
2453,39328,54.752110,58.198389,"Россия, Челябинская область, Катав-Ивановск"
2328,39408,61.336580,73.338595,"Россия, ХМАО, Сургут, садовое товарищество № 5, Улица Югра"
2451,39825,56.078684,86.020129,"Россия, Кемеровская область, Анжеро-Судженск"
2135,39962,55.068705,32.689675,"Россия, Смоленская область, Ярцево"
2452,40048,65.839904,44.253140,"Россия, Архангельская область, Мезень"
2660,40208,57.380662,41.280830,"Россия, Ивановская область, Приволжск"
2659,40238,56.650750,32.262041,"Россия, Тверская область, Андреаполь"
2658,40294,52.592920,41.505750,"Россия, Тамбовская область, Котовск"
2026,40297,56.262877,34.329065,"Россия, Тверская область, Ржев"
2449,40430,48.706788,44.563140,"Россия, Волгоградская область, Среднеахтубинский район, Краснослободск"
1985,40520,54.058268,44.949110,"Россия, Республика Мордовия, Рузаевка"
2354,40850,57.153033,65.534328,"Россия, Тюмень"
2430,40913,55.354968,86.087314,"Россия, Кемерово"
2657,40995,55.784729,38.444651,"Россия, Московская область, Электросталь"
2656,40999,62.263872,74.482878,"Россия, ХМАО, Когалым"
2655,41016,58.303426,48.347508,"Россия, Кировская область, Котельнич"
2654,41125,55.871880,36.840682,"Россия, Московская область, Истринский район, садовое товарищество Истра-1"
2653,41132,56.205060,95.705109,"Россия, Красноярский край, Канск"
2652,41181,54.120310,36.500931,"Россия, Тульская область, Суворов"
2448,41183,56.228526,51.061516,"Россия, Кировская область, Вятские Поляны"
2134,41184,56.253352,51.283364,"Россия, Кировская область, Вятскополянский район, Сосновка"
2025,41310,55.171483,59.672605,"Россия, Челябинская область, Златоуст"
2130,41512,56.501173,31.635466,"Россия, Тверская область, Торопец"
2410,41695,43.317776,45.694909,"Россия, Чеченская Республика, Грозный"
2383,42231,50.290658,127.527173,"Россия, Амурская область, Благовещенск"
2129,42484,55.603975,31.197097,"Россия, Смоленская область, Велиж"
2128,42564,63.556478,53.701413,"Россия, Республика Коми, Ухта"
2447,42592,47.040905,142.041622,"Россия, Сахалинская область, Холмск"
2127,42593,56.502783,66.551454,"Россия, Тюменская область, Заводоуковск"
2024,42596,55.833850,32.938805,"Россия, Тверская область, Белый"
2224,42624,54.503114,37.067390,"Россия, Тульская область, Алексин"
2221,42967,50.387629,116.523485,"Россия, Забайкальский край, Борзя"
2220,43331,58.958666,126.287561,"Россия, Республика Саха (Якутия), Алданский район, Томмот"
2219,43363,59.935106,60.079820,"Россия, Свердловская область, Волчанск"
2649,43373,55.484561,37.306764,"Россия, Москва, Троицк"
2218,43455,52.391972,38.919456,"Россия, Липецкая область, Задонск"
2217,43745,57.468492,41.964439,"Россия, Ивановская область, Кинешемский район, Наволоки"
2216,44051,43.148800,45.900991,"Россия, Чеченская Республика, Шали"
2215,44351,54.770552,20.603939,"Россия, Калининградская область, Гурьевск"
2214,44554,56.397774,38.727621,"Россия, Владимирская область, Александров"
2213,44555,56.374930,38.584079,"Россия, Владимирская область, Александровский район, Струнино"
2212,44556,56.313269,38.703438,"Россия, Владимирская область, Александровский район, Карабаново"
2211,44683,58.844892,50.845660,"Россия, Кировская область, Белая Холуница"
2264,44921,56.932531,41.093208,"Россия, Ивановская область, Кохма"
2373,45295,52.286387,104.280660,"Россия, Иркутск"
2210,45356,55.991893,37.214382,"Россия, Москва, Зеленоград"
2209,45953,56.792878,105.775672,"Россия, Иркутская область, Усть-Кут"
2382,46263,54.734773,55.957829,"Россия, Республика Башкортостан, Уфа"
2648,46265,55.899835,53.922040,"Россия, Республика Башкортостан, Агидель"
2208,46426,57.338402,61.894651,"Россия, Свердловская область, Артёмовский"
2263,46495,54.644072,19.892177,"Россия, Калининградская область, Балтийск"
2826,46875,55.154676,124.729200,"Россия, Амурская область, городской округ Тында, Тында"
2262,47139,52.999369,78.645913,"Россия, Алтайский край, Славгород"
2022,47166,64.558186,39.829620,"Россия, Архангельская область, Северодвинск"
2259,47307,50.986969,39.497764,"Россия, Воронежская область, Лиски"
2446,47533,44.660166,45.649966,"Россия, Республика Дагестан, Южно-Сухокумск"
2258,47716,57.005274,61.458114,"Россия, Свердловская область, Асбест"
2021,47752,55.624118,37.844083,"Россия, Московская область, Дзержинский"
2020,47753,54.870621,37.218316,"Россия, Московская область, Протвино"
2445,47757,47.326240,142.793440,"Россия, Сахалинская область, Долинск"
2019,47789,54.913536,37.416763,"Россия, Московская область, Серпухов"
2018,47952,55.599896,38.122336,"Россия, Московская область, город Жуковский"
2257,48077,58.381199,42.347490,"Россия, Костромская область, Галич"
2414,48374,48.472584,135.057732,"Россия, Хабаровск"
2444,48472,58.875802,40.248495,"Россия, Вологодская область, Грязовец"
